# Neutrino-Ar40 nc cross section (10^-38 cm^2/GeV, natural abundance) # 
# log(energy in GeV)  nu_e      nu_mu      nu_tau      nu_e_bar      nu_mu_bar    nu_tau_bar # 

-1.6135292e+00   5.618776e-01   5.618776e-01   5.618776e-01   5.618776e-01   5.618776e-01   5.618776e-01
-1.6118759e+00   5.6846315e-01   5.6846315e-01   5.6846315e-01   5.6846315e-01   5.6846315e-01   5.6846315e-01
-1.6102289e+00   5.750487e-01   5.750487e-01   5.750487e-01   5.750487e-01   5.750487e-01   5.750487e-01
-1.6085881e+00   5.816342e-01   5.816342e-01   5.816342e-01   5.816342e-01   5.816342e-01   5.816342e-01
-1.6069535e+00   5.882198e-01   5.882198e-01   5.882198e-01   5.882198e-01   5.882198e-01   5.882198e-01
-1.605325e+00   5.9480536e-01   5.9480536e-01   5.9480536e-01   5.9480536e-01   5.9480536e-01   5.9480536e-01
-1.6037025e+00   6.013909e-01   6.013909e-01   6.013909e-01   6.013909e-01   6.013909e-01   6.013909e-01
-1.6020862e+00   6.0797644e-01   6.0797644e-01   6.0797644e-01   6.0797644e-01   6.0797644e-01   6.0797644e-01
-1.6004759e+00   6.1452603e-01   6.1452603e-01   6.1452603e-01   6.1452603e-01   6.1452603e-01   6.1452603e-01
-1.5988715e+00   6.2106544e-01   6.2106544e-01   6.2106544e-01   6.2106544e-01   6.2106544e-01   6.2106544e-01
-1.597273e+00   6.276049e-01   6.276049e-01   6.276049e-01   6.276049e-01   6.276049e-01   6.276049e-01
-1.5956804e+00   6.341443e-01   6.341443e-01   6.341443e-01   6.341443e-01   6.341443e-01   6.341443e-01
-1.5940934e+00   6.4068377e-01   6.4068377e-01   6.4068377e-01   6.4068377e-01   6.4068377e-01   6.4068377e-01
-1.5925124e+00   6.472232e-01   6.472232e-01   6.472232e-01   6.472232e-01   6.472232e-01   6.472232e-01
-1.5909371e+00   6.5376264e-01   6.5376264e-01   6.5376264e-01   6.5376264e-01   6.5376264e-01   6.5376264e-01
-1.5893675e+00   6.6030204e-01   6.6030204e-01   6.6030204e-01   6.6030204e-01   6.6030204e-01   6.6030204e-01
-1.5878035e+00   6.668415e-01   6.668415e-01   6.668415e-01   6.668415e-01   6.668415e-01   6.668415e-01
-1.5862452e+00   6.733809e-01   6.733809e-01   6.733809e-01   6.733809e-01   6.733809e-01   6.733809e-01
-1.5846924e+00   6.799204e-01   6.799204e-01   6.799204e-01   6.799204e-01   6.799204e-01   6.799204e-01
-1.5831451e+00   6.8645984e-01   6.8645984e-01   6.8645984e-01   6.8645984e-01   6.8645984e-01   6.8645984e-01
-1.5816033e+00   6.9299924e-01   6.9299924e-01   6.9299924e-01   6.9299924e-01   6.9299924e-01   6.9299924e-01
-1.580067e+00   6.995793e-01   6.995793e-01   6.995793e-01   6.995793e-01   6.995793e-01   6.995793e-01
-1.5785362e+00   7.061653e-01   7.061653e-01   7.061653e-01   7.061653e-01   7.061653e-01   7.061653e-01
-1.5770106e+00   7.127514e-01   7.127514e-01   7.127514e-01   7.127514e-01   7.127514e-01   7.127514e-01
-1.5754905e+00   7.193374e-01   7.193374e-01   7.193374e-01   7.193374e-01   7.193374e-01   7.193374e-01
-1.5739756e+00   7.259234e-01   7.259234e-01   7.259234e-01   7.259234e-01   7.259234e-01   7.259234e-01
